WormBaseID,ElasticNet_Coef
WBGene00012747,-3.9183849126
WBGene00011554,-3.6615313969
WBGene00002259,-3.4419756727
WBGene00018196,-3.3572860482
WBGene00017813,-3.1525882862
WBGene00020516,-3.1427422789
WBGene00008357,-3.14116109
WBGene00019885,-3.1204745034
WBGene00016717,-3.0483472153
WBGene00017841,-2.9659650528
WBGene00018645,-2.9609528515
WBGene00021321,-2.925864321
WBGene00000609,-2.9174859201
WBGene00045399,-2.9001876702
WBGene00012840,-2.8675225081
WBGene00011753,-2.8590519843
WBGene00003562,-2.8371870119
WBGene00010924,-2.8030042268
WBGene00018257,-2.7863166895
WBGene00001694,-2.7264171701
WBGene00000669,-2.7252000769
WBGene00008708,-2.7046281015
WBGene00016423,-2.6424186284
WBGene00019184,-2.6392978143
WBGene00013548,-2.631728266
WBGene00008341,-2.6270204719
WBGene00016394,-2.6188694875
WBGene00001758,-2.6094517704
WBGene00000778,-2.5950857226
WBGene00017501,-2.590425926
WBGene00014003,-2.5865446993
WBGene00175027,-2.5669436395
WBGene00011586,-2.5369698935
WBGene00014099,-2.4576006084
WBGene00010659,-2.4476175606
WBGene00018877,-2.4374435068
WBGene00009146,-2.4074727094
WBGene00003527,-2.4024336996
WBGene00000752,-2.3756799515
WBGene00016266,-2.3705792793
WBGene00019282,-2.3671791528
WBGene00016943,-2.355915049
WBGene00009094,-2.3534647038
WBGene00019619,-2.3343113621
WBGene00006679,-2.3133779298
WBGene00012857,-2.2981430718
WBGene00018637,-2.2854010599
WBGene00010746,-2.2815986131
WBGene00008583,-2.2734502165
WBGene00000082,-2.2718557607
WBGene00009526,-2.2640238191
WBGene00007875,-2.2421499823
WBGene00003763,-2.2339306544
WBGene00007903,-2.1960028471
WBGene00011487,-2.1798243057
WBGene00007236,-2.1596910734
WBGene00019576,-2.1532478774
WBGene00003558,-2.1481173538
WBGene00020343,-2.1110947225
WBGene00077690,-2.1005793822
WBGene00269355,-2.0852343361
WBGene00010183,-2.0708060654
WBGene00016335,-2.0704364414
WBGene00009483,-2.0674799661
WBGene00016863,-2.0623683789
WBGene00022353,-2.0546893056
WBGene00011094,-2.0523412606
WBGene00044443,-2.0508196978
WBGene00016872,-2.0306285706
WBGene00001719,-2.0194734342
WBGene00016274,-1.9979105109
WBGene00000712,-1.9873350389
WBGene00045495,-1.9750252244
WBGene00013968,-1.9734566472
WBGene00044469,-1.964383278
WBGene00008358,-1.9612424212
WBGene00044459,-1.9561787705
WBGene00005002,-1.954181731
WBGene00007557,-1.9465041985
WBGene00001816,-1.9375859231
WBGene00007353,-1.9347706458
WBGene00016076,-1.9176582923
WBGene00001781,-1.9098420616
WBGene00015045,-1.8993760753
WBGene00006692,-1.8965846198
WBGene00010595,-1.8938013169
WBGene00009647,-1.877635689
WBGene00019803,-1.8701645998
WBGene00009677,-1.868927856
WBGene00016086,-1.8663993365
WBGene00010585,-1.8632160489
WBGene00010079,-1.8538296281
WBGene00017512,-1.8489764823
WBGene00012257,-1.8106248345
WBGene00010125,-1.8092657543
WBGene00011429,-1.7878310934
WBGene00013931,-1.7831839031
WBGene00000401,-1.772295544
WBGene00021773,-1.7699971212
WBGene00015859,-1.7688130847
WBGene00004007,-1.739537349
WBGene00002055,-1.7245226803
WBGene00008127,-1.7126609712
WBGene00022445,-1.7037392846
WBGene00004114,-1.7014645717
WBGene00010887,-1.6996816988
WBGene00021343,-1.6852161633
WBGene00009634,-1.6836454529
WBGene00017850,-1.6791073651
WBGene00001572,-1.6718277138
WBGene00019105,-1.6705344119
WBGene00016596,-1.6645596973
WBGene00000768,-1.6627643514
WBGene00000606,-1.6558791028
WBGene00014137,-1.641957118
WBGene00004168,-1.627861548
WBGene00009546,-1.6251769009
WBGene00011107,-1.6244533353
WBGene00018901,-1.6098521454
WBGene00009840,-1.6089637501
WBGene00009883,-1.6082517599
WBGene00004156,-1.5955743999
WBGene00000133,-1.5743167147
WBGene00020836,-1.5698774411
WBGene00004359,-1.5694108397
WBGene00045246,-1.5634651715
WBGene00006672,-1.5630343436
WBGene00001210,-1.5385845722
WBGene00010411,-1.5379878452
WBGene00012259,-1.5264235935
WBGene00001458,-1.4997044102
WBGene00011321,-1.495618969
WBGene00008352,-1.4770121949
WBGene00021148,-1.4700242668
WBGene00007867,-1.4672326434
WBGene00013896,-1.4659821919
WBGene00015137,-1.4594495712
WBGene00007521,-1.4583776302
WBGene00019846,-1.458293666
WBGene00000703,-1.451370555
WBGene00044554,-1.4470911917
WBGene00008538,-1.445501225
WBGene00010976,-1.4424151266
WBGene00044502,-1.4393129149
WBGene00018716,-1.4357976682
WBGene00007509,-1.4320572083
WBGene00008953,-1.4122989539
WBGene00003762,-1.4084714321
WBGene00019313,-1.4079981022
WBGene00044736,-1.4066456233
WBGene00045390,-1.4038077972
WBGene00008043,-1.3896390188
WBGene00020585,-1.3887952933
WBGene00016165,-1.3759747148
WBGene00045249,-1.3684940766
WBGene00006886,-1.3654492516
