WormBaseID,ElasticNet_Coef
Intercept,125.9714426218
WBGene00000003,-0.6444567815
WBGene00000004,-1.1387033742
WBGene00000006,-0.0904818732
WBGene00000009,0.4123628027
WBGene00000010,0.1193450098
WBGene00000013,0.2271244764
WBGene00000016,-0.0852289365
WBGene00000018,-0.5651513781
WBGene00000022,0.2585046955
WBGene00000023,-0.7093036876
WBGene00000030,0.1470844367
WBGene00000031,0.4052164472
WBGene00000033,0.0739788979
WBGene00000034,0.0384677351
WBGene00000039,0.6894330877
WBGene00000044,0.2217140616
WBGene00000047,0.0364020642
WBGene00000051,0.726847002
WBGene00000054,0.007424107
WBGene00000055,0.4587368108
WBGene00000056,0.0284842159
WBGene00000057,0.4343040516
WBGene00000068,-0.0679520246
WBGene00000069,0.0926043934
WBGene00000070,0.4328723427
WBGene00000072,-0.0374006698
WBGene00000074,0.1060514162
WBGene00000075,-0.2212384919
WBGene00000083,-0.0818674864
WBGene00000084,-0.0193107972
WBGene00000086,-0.0621978958
WBGene00000089,-0.4422479802
WBGene00000094,-0.2500809143
WBGene00000095,0.0814376409
WBGene00000098,0.0028117928
WBGene00000106,0.0744765233
WBGene00000108,-0.2657132232
WBGene00000111,0.029743018
WBGene00000135,0.0756176007
WBGene00000136,0.7523419271
WBGene00000139,-0.1455284378
WBGene00000144,0.1324384731
WBGene00000145,0.8090098654
WBGene00000148,-0.2078921653
WBGene00000150,0.1665383761
WBGene00000157,-0.4011371984
WBGene00000161,-0.0737177571
WBGene00000164,-0.0864743431
WBGene00000165,0.0146862624
WBGene00000168,-0.0077439512
WBGene00000169,0.3315219418
WBGene00000170,-0.0678159832
WBGene00000172,0.4133268389
WBGene00000176,0.8056988201
WBGene00000177,0.0955941658
WBGene00000179,-0.0947699556
WBGene00000184,-0.0519690497
WBGene00000185,-0.2387125038
WBGene00000188,-0.3225474441
WBGene00000189,0.2085614255
WBGene00000190,0.105082985
WBGene00000196,-0.3240128779
WBGene00000210,-0.0500728622
WBGene00000211,0.4650680538
WBGene00000212,-0.3209482357
WBGene00000213,-0.1813255229
WBGene00000215,-0.0641503142
WBGene00000220,0.0207316908
WBGene00000222,0.0995357782
WBGene00000225,0.2075257704
WBGene00000227,-0.0133617283
WBGene00000232,0.4638381395
WBGene00000239,-0.576795517
WBGene00000242,0.0635030678
WBGene00000244,0.229394811
WBGene00000246,0.1700515119
WBGene00000253,-0.1531733228
WBGene00000262,0.1097260279
WBGene00000265,-0.1236548064
WBGene00000269,0.0098234152
WBGene00000279,0.4985047923
WBGene00000281,0.125885525
WBGene00000283,-0.6070266009
WBGene00000284,0.6325834049
WBGene00000285,-0.4632218383
WBGene00000287,0.3349796115
WBGene00000288,-0.3198835517
WBGene00000295,-0.0866585849
WBGene00000301,-0.2474849701
WBGene00000302,0.0442367776
WBGene00000367,0.0170256425
WBGene00000368,0.2495943536
WBGene00000372,-0.2195323421
WBGene00000373,-0.2953433233
WBGene00000374,-0.0926667021
WBGene00000388,0.1657673237
WBGene00000391,-0.2030505374
WBGene00000392,-0.0122406981
WBGene00000397,0.4282174888
WBGene00000399,0.4855102634
WBGene00000402,0.3599629776
WBGene00000407,-0.0611261967
WBGene00000412,0.0241013414
WBGene00000417,-0.0157417498
WBGene00000422,-0.71100501
WBGene00000425,-0.7216181713
WBGene00000435,0.4280985833
WBGene00000437,0.2225498873
WBGene00000438,0.1279857625
WBGene00000439,-0.0298012383
WBGene00000442,0.0114123131
WBGene00000444,-0.0332950359
WBGene00000448,-0.4029834642
WBGene00000449,0.4875656525
WBGene00000453,-0.1999912822
WBGene00000457,0.172345506
WBGene00000460,0.0908348685
WBGene00000461,-0.1187397962
WBGene00000462,0.0451785888
WBGene00000478,0.1548123668
WBGene00000481,-0.5731197536
WBGene00000491,-0.0978002494
WBGene00000493,0.305819654
WBGene00000496,-0.0821353167
WBGene00000497,-0.0716588091
WBGene00000499,0.412419621
WBGene00000501,-0.1715029845
WBGene00000503,0.4237058411
WBGene00000507,-0.0008358287
WBGene00000510,-0.1974823183
WBGene00000511,0.7595477429
WBGene00000512,0.2786359102
WBGene00000514,-0.2669638851
WBGene00000515,-0.6133791237
WBGene00000516,1.5923977257
WBGene00000518,-0.0715429308
WBGene00000522,-0.1526325072
WBGene00000523,-0.0753287278
WBGene00000524,0.0867777738
WBGene00000529,-0.2904504425
WBGene00000531,0.8481270711
WBGene00000533,0.1198840593
WBGene00000537,0.1474953806
WBGene00000539,0.3571517564
WBGene00000541,-0.3901514639
WBGene00000546,-0.0601217519
WBGene00000551,-0.8397025058
WBGene00000555,0.3592328876
WBGene00000557,0.1998897986
WBGene00000560,0.7769101754
WBGene00000561,-0.1969606354
WBGene00000562,-0.1019371696
WBGene00000565,0.0497048058
WBGene00000583,-0.0239662255
WBGene00000594,0.8584663764
WBGene00000598,0.0717385684
WBGene00000601,0.0049720329
WBGene00000603,-0.4300472647
WBGene00000609,-0.7567248068
WBGene00000610,-0.3676203764
WBGene00000615,0.1460646756
WBGene00000617,-0.0403424319
WBGene00000618,0.6031187111
WBGene00000620,0.2414549244
WBGene00000622,-0.4263236914
WBGene00000625,-0.3225430608
WBGene00000626,0.1393136583
WBGene00000630,-0.0430845771
WBGene00000631,-0.2432602096
WBGene00000636,0.1171963188
WBGene00000639,0.4934565212
WBGene00000640,0.0993253278
WBGene00000644,0.2328189642
WBGene00000646,-0.0456780472
WBGene00000649,0.4645373173
WBGene00000650,0.052449418
WBGene00000652,0.0529516478
WBGene00000656,-0.901870125
WBGene00000659,-0.178370149
WBGene00000660,-0.6031702636
WBGene00000663,0.3150801893
WBGene00000665,0.3632102809
WBGene00000666,-0.3083899383
WBGene00000667,-0.0169402892
WBGene00000668,-1.6945389224
WBGene00000669,-0.1272424207
WBGene00000670,-0.1672079711
WBGene00000675,-0.0615011056
WBGene00000677,-0.0927131387
WBGene00000678,0.1996076022
WBGene00000680,-0.0258476899
WBGene00000687,1.3579959933
WBGene00000690,-0.30769247
WBGene00000692,-1.1805890089
WBGene00000694,0.0063412061
WBGene00000695,-0.4874659271
WBGene00000698,-0.3673366199
WBGene00000700,0.0477851869
WBGene00000702,-0.1801190322
WBGene00000703,-0.3438798169
WBGene00000704,0.3377245604
WBGene00000707,0.1907165267
WBGene00000708,0.2405086588
WBGene00000712,-0.5382519849
WBGene00000714,-0.1692389833
WBGene00000715,-0.592980922
WBGene00000716,-0.0679046839
WBGene00000717,-0.7102932894
WBGene00000718,0.1331906094
WBGene00000720,0.2952958637
WBGene00000722,-0.2215295987
WBGene00000723,-0.6733745566
WBGene00000726,-0.6541262123
WBGene00000727,-0.3194437796
WBGene00000728,-0.5121257063
WBGene00000730,0.4264160339
WBGene00000732,-0.0575542646
WBGene00000733,-0.8431321201
WBGene00000735,0.4008133656
WBGene00000737,0.0569608246
WBGene00000738,0.6875491667
WBGene00000740,0.2558062028
WBGene00000741,-0.1411622926
WBGene00000742,0.0564168357
WBGene00000745,-0.0640947086
WBGene00000746,0.1282550314
WBGene00000748,0.2070739458
WBGene00000749,0.0300414313
WBGene00000752,-0.2296652728
WBGene00000756,0.6081750759
WBGene00000763,-0.0563788381
WBGene00000768,-0.1395012984
WBGene00000771,0.1562300326
WBGene00000775,0.1443191686
WBGene00000778,-0.1495535349
WBGene00000782,0.7466249892
WBGene00000783,0.1501765759
WBGene00000785,0.5626102101
WBGene00000792,-0.481802137
WBGene00000793,0.0938979391
WBGene00000797,-0.4596148983
WBGene00000799,-0.3803921687
WBGene00000801,-0.7051776625
WBGene00000804,0.0038086495
WBGene00000812,0.2310318418
WBGene00000816,0.0611554613
WBGene00000819,0.1934290482
WBGene00000830,0.0261582363
WBGene00000834,0.0473058192
WBGene00000845,0.1760247068
WBGene00000858,0.2674265906
WBGene00000870,-0.000005483
WBGene00000871,-0.0330739598
WBGene00000878,0.7334923994
WBGene00000882,0.0720158824
WBGene00000886,0.0879740682
WBGene00000888,0.0343704041
WBGene00000892,-0.0100091058
WBGene00000893,-0.3568983777
WBGene00000896,-0.112403932
WBGene00000899,-0.1687117549
WBGene00000900,-0.0497366193
WBGene00000904,0.840282133
WBGene00000906,0.3410700127
WBGene00000908,-0.0780943803
WBGene00000910,0.3926325398
WBGene00000914,0.0832316193
WBGene00000920,0.0425126806
WBGene00000932,-0.3452050797
WBGene00000936,-0.3647461598
WBGene00000940,-0.0966317246
WBGene00000961,0.5129498437
WBGene00000963,0.0218167534
WBGene00000966,-0.2785265732
WBGene00000967,-0.1182720801
WBGene00000968,-1.2286829225
WBGene00000969,0.8306038988
WBGene00000971,-0.2420037959
WBGene00000974,0.1043817154
WBGene00000976,0.1173463478
WBGene00000978,-0.1529307573
WBGene00000980,0.0827439575
WBGene00000981,0.069404527
WBGene00000982,-0.0128099805
WBGene00000983,0.106830328
WBGene00000984,-0.0612734755
WBGene00000986,-0.892152683
WBGene00000988,-0.3673651153
WBGene00000989,0.7590129583
WBGene00000992,-0.8037131486
WBGene00000993,-0.307223189
WBGene00000998,-0.5428132304
WBGene00001000,-0.3906347311
WBGene00001002,0.0733359433
WBGene00001006,0.1195210017
WBGene00001021,-0.4168252499
WBGene00001032,0.0051166159
WBGene00001045,0.015377478
WBGene00001050,-0.0876640715
WBGene00001051,-0.0616260341
WBGene00001054,-0.5899844025
WBGene00001059,-0.5338173624
WBGene00001063,-0.8798394304
WBGene00001066,-0.0113202305
WBGene00001067,0.3174256155
WBGene00001069,-0.4229187571
WBGene00001071,-0.2695289297
WBGene00001072,0.000716715
WBGene00001075,0.0207568285
WBGene00001078,-0.3024532374
WBGene00001079,-0.0793007479
WBGene00001081,-0.3636774178
WBGene00001087,0.0877382051
WBGene00001089,-0.2404062865
WBGene00001091,-0.1752574441
WBGene00001099,0.3203849528
WBGene00001103,0.253094801
WBGene00001104,0.007845873
WBGene00001105,0.467222711
WBGene00001110,-0.1395726527
WBGene00001113,0.4314753607
WBGene00001121,0.3430935006
WBGene00001122,0.1116805866
WBGene00001127,0.0095064619
WBGene00001129,0.1363549479
WBGene00001131,0.111019473
WBGene00001135,-0.2766115156
WBGene00001147,0.5313161726
WBGene00001150,0.093552751
WBGene00001152,0.1427632748
WBGene00001156,-0.1369007736
WBGene00001157,-0.2647883798
WBGene00001158,-1.5933300771
WBGene00001159,-0.1577332749
